product_group,price_per_liter,anomaly,name,price,link,volume,abv,scraped_at,volume_cl,volume_l,name_clean
1,39.949999999999996,True,Glen Talloch,7.99,https://www.gall.nl/glen-talloch-20cl-798827.html,20.0,40.0,2024-09-30 15:48:24,20.0,0.2,glen talloch
3,119.8,True,The Famous Grouse,5.99,https://www.gall.nl/the-famous-grouse-5cl-693960.html,5.0,40.0,2024-09-30 16:00:53,5.0,0.05,the famous grouse
4,99.8,True,Johnnie Walker Red Label,4.99,https://www.gall.nl/johnnie-walker-red-label-5cl-690015.html,5.0,40.0,2024-09-30 15:59:07,5.0,0.05,johnnie walker red label
5,99.8,True,Jameson,4.99,https://www.gall.nl/jameson-5cl-710156.html,5.0,40.0,2024-09-30 16:00:18,5.0,0.05,jameson
6,27.128571428571426,True,Grant's,18.99,https://www.gall.nl/grants-70cl-691402.html,70.0,40.0,2024-09-30 15:56:34,70.0,0.7,grants
12,185.70000000000002,True,Bowmore 18 Years Single Malt Whisky,129.99,https://www.gall.nl/bowmore-18-years-single-malt-whisky-70cl-708739.html,70.0,43.0,2024-09-30 15:51:10,70.0,0.7,bowmore 18 years single malt whisky
36,119.8,True,The Glenlivet Founder's Reserve,5.99,https://www.gall.nl/the-glenlivet-founders-reserve-5cl-631019.html,5.0,40.0,2024-09-30 15:59:06,5.0,0.05,the glenlivet founders reserve
94,79.8,True,Jack Daniel's Tennessee Whiskey,3.99,https://www.gall.nl/jack-daniels-tennessee-whiskey-5cl-729965.html,5.0,40.0,2024-09-30 15:59:19,5.0,0.05,jack daniels tennessee whiskey
107,165.70000000000002,True,Glenfiddich 18 Years,115.99,https://www.gall.nl/glenfiddich-18-years-70cl-700398.html,70.0,40.0,2024-09-30 15:49:34,70.0,0.7,glenfiddich 18 years
130,329.9857142857143,True,Johnnie Walker Blue Label,230.99,https://www.gall.nl/johnnie-walker-blue-label-70cl-698032.html,70.0,40.0,2024-09-30 15:59:38,70.0,0.7,johnnie walker blue label
139,429.9857142857143,True,Chivas Regal 25 Years,300.99,https://www.gall.nl/chivas-regal-25-years-70cl-698105.html,70.0,40.0,2024-09-30 15:59:13,70.0,0.7,chivas regal 25 years
765,314.2714285714286,True,Macallan Double Cask 15 Years,219.99,https://www.gall.nl/macallan-double-cask-15-years-70cl-155977.html,70.0,43.0,2024-09-30 15:56:27,70.0,0.7,macallan double cask 15 years
703,9857.142857142857,True,Loch Lomond 47 Year Old,6900.0,https://www.thewhiskyexchange.com/p/71565/loch-lomond-47-year-old,70.0,44.3,2024-09-30 15:51:09,70.0,0.7,loch lomond 47 year old
706,8271.428571428572,True,Glenturret 35 Year Old2023 Release,5790.0,https://www.thewhiskyexchange.com/p/72503/glenturret-35-year-old-2023-release,70.0,42.8,2024-09-30 15:50:17,70.0,0.7,glenturret 35 year old2023 release
709,1542.857142857143,True,Glenfarclas 35 Year Old,1080.0,https://www.thewhiskyexchange.com/p/70786/glenfarclas-35-year-old,70.0,43.0,2024-09-30 15:51:40,70.0,0.7,glenfarclas 35 year old
709,2742.857142857143,True,Glenfarclas 40 Year Old,1920.0,https://www.thewhiskyexchange.com/p/34705/glenfarclas-40-year-old,70.0,43.0,2024-09-30 16:02:07,70.0,0.7,glenfarclas 40 year old
710,3428.571428571429,True,Laphroaig 32 Year Old,2400.0,https://www.thewhiskyexchange.com/p/30052/laphroaig-32-year-old,70.0,46.6,2024-09-30 16:03:05,70.0,0.7,laphroaig 32 year old
713,2442.857142857143,True,Dalmore 25 Year Old,1710.0,https://www.thewhiskyexchange.com/p/21648/dalmore-25-year-old,70.0,42.0,2024-09-30 16:05:46,70.0,0.7,dalmore 25 year old
